reading from file /home/ysc/x30_gridmap_captures/20260714_142726_mode3_flat_20260714_142726.pcap, link-type EN10MB (Ethernet)
2026-07-14 14:27:38.762952 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.763364 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:38.877416 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.877774 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:38.980166 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.980623 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:39.078898 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.079289 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:39.183196 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.183635 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:39.264560 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.265000 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:39.381394 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.381803 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:39.484439 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.484850 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 14:27:39.564281 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.564633 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 14:27:39.665587 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.666005 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 14:27:39.780948 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.781352 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:39.886237 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.886644 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:39.983921 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:39.984331 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:40.067684 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.068088 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:40.181036 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.181405 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:40.287432 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.287846 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 14:27:40.368494 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.368899 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:40.487446 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.487859 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 14:27:40.564891 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:40.565288 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:40.679217 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
