reading from file /home/ysc/x30_gridmap_captures/20260714_132556_factory_idle.pcap, link-type EN10MB (Ethernet)
2026-07-14 13:26:09.867704 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:09.966539 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.966906 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:10.087728 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:10.088128 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:10.164595 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:10.164973 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:10.284801 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:10.285144 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:10.381410 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:10.381764 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:10.464248 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:10.464718 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
