reading from file /home/ysc/x30_gridmap_captures/20260714_153211_mode3_object_probe.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:32:22.661050 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.661450 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:22.766882 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.767267 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:22.882611 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.882976 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:22.980081 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.980473 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:23.069535 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.069943 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:23.185220 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.185619 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:23.280934 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.281276 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:23.363802 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.364224 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:23.478645 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.479002 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:23.579292 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.579777 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:23.663777 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.664192 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:23.784275 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.784673 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:23.866274 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.866705 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:32:23.981301 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:23.981773 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:24.079101 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.079421 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:24.187569 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.187972 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:24.277102 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.277500 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:24.392592 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.392895 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:24.466133 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.466548 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:24.569103 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.569513 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:24.666109 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.666522 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:24.795124 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.795560 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:24.880014 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.880425 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:24.981474 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:24.981896 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:32:25.078615 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:25.078993 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
