reading from file /home/ysc/x30_gridmap_captures/20260714_150324_mode3_known_step.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:03:36.883258 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.883678 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:36.965799 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.966195 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:37.067309 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.067717 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:37.181427 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.181822 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:03:37.279005 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.279418 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:37.379633 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.380029 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:37.466003 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.466396 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:37.580348 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.580742 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:37.694175 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.694532 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:03:37.768774 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.769169 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:37.886971 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.887417 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 15:03:37.981307 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:37.981702 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
